n,tau,k,Array_Size,Time
10,2,2,45,1.0754
10,2,3,20,0.7947
10,2,4,12,0.8135
10,2,5,10,0.7695
10,2,6,12,0.6924
10,2,7,20,0.8322
10,3,3,120,2.9204
10,3,4,45,0.9215
10,3,5,26,0.69
10,3,6,43,1.1044
10,3,7,120,2.7701
10,3,8,45,0.8639
10,4,4,210,4.6991
10,4,5,81,1.135
10,4,6,210,3.7022
10,4,7,120,1.5429
