n,tau,k,Algorithm,Array_Size,Time
30,3,4,Heuristic_Greedy,TIMEOUT,inf
30,3,4,Simulated_Annealing,TIMEOUT,inf
30,3,5,Adaptive_Sampling,1015,398.5820
30,3,5,Heuristic_Greedy,TIMEOUT,inf
30,3,5,Simulated_Annealing,TIMEOUT,inf
30,3,6,Adaptive_Sampling,638,214.8132
30,3,6,Heuristic_Greedy,TIMEOUT,inf
30,3,6,Simulated_Annealing,TIMEOUT,inf
30,3,7,Adaptive_Sampling,447,131.3262
30,3,7,Heuristic_Greedy,TIMEOUT,inf
30,3,7,Simulated_Annealing,TIMEOUT,inf
30,3,8,Adaptive_Sampling,339,99.7152
30,3,8,Heuristic_Greedy,TIMEOUT,inf
30,3,8,Simulated_Annealing,TIMEOUT,inf
30,4,4,Adaptive_Sampling,TIMEOUT,inf
30,4,4,Heuristic_Greedy,TIMEOUT,inf
30,4,4,Simulated_Annealing,TIMEOUT,inf
30,4,5,Adaptive_Sampling,TIMEOUT,inf
30,4,5,Heuristic_Greedy,TIMEOUT,inf
30,4,5,Simulated_Annealing,TIMEOUT,inf
30,4,6,Adaptive_Sampling,TIMEOUT,inf
30,4,6,Heuristic_Greedy,TIMEOUT,inf
30,4,6,Simulated_Annealing,TIMEOUT,inf
30,4,7,Adaptive_Sampling,TIMEOUT,inf
30,4,7,Heuristic_Greedy,TIMEOUT,inf
30,4,7,Simulated_Annealing,TIMEOUT,inf
30,4,8,Adaptive_Sampling,TIMEOUT,inf
30,4,8,Heuristic_Greedy,TIMEOUT,inf
30,4,8,Simulated_Annealing,TIMEOUT,inf
30,4,9,Adaptive_Sampling,TIMEOUT,inf
30,4,9,Heuristic_Greedy,TIMEOUT,inf
30,4,9,Simulated_Annealing,TIMEOUT,inf
